thrL,NP_308028.1,189,273,1,thr operon leader peptide
thrA,NP_308029.1,353,2816,1,aspartokinase I
thrB,NP_308030.1,2817,3750,1,homoserine kinase
thrC,NP_308031.1,3750,5037,1,L-threonine synthase
yaaX,NP_308032.1,5250,5547,1,hypothetical protein
yaaA,NP_308033.1,5699,6476,-1,peroxide resistance protein
yaaJ,NP_308034.1,6545,7976,-1,amino acid carrier protein
talB,NP_308035.1,8254,9208,1,transaldolase B
mog,NP_308036.1,9322,9910,1,molybdochelatase incorporating molybdenum into molybdopterin
satP,NP_308037.1,9944,10511,-1,succinate-acetate transporter
yaaW,NP_308038.1,10659,11373,-1,hypothetical protein
yaaI,NP_308040.1,11398,11803,-1,hypothetical protein
dnaK,NP_308041.1,12179,14096,1,chaperone Hsp70
dnaJ,NP_308042.1,14184,15315,1,chaperone Hsp40
mokC,NP_308043.1,15418,15628,-1,regulatory protein MokC for HokC
nhaA,NP_308044.1,16156,17323,1,pH-dependent sodium/proton antiporter
nhaR,NP_308045.2,17388,18288,1,transcriptional activator
N.A.,N.A.,18325,19286,-1,N.A.
N.A.,NP_308049.1,19298,21749,-1,fimbrial assembly protein
N.A.,NP_308050.1,21761,22445,-1,fimbrial chaperone
N.A.,NP_308051.1,22494,23028,-1,fimbrial protein
espX1,NP_308052.1,23329,24751,-1,T3SS effector-like protein EspX
rpsT,NP_308053.1,25220,25484,-1,30S ribosomal subunit protein S20
ribF,NP_308055.1,25818,26760,1,bifunctional riboflavin kinase/FAD synthetase
ileS,NP_308056.1,26802,29619,1,isoleucyl-tRNA synthetase
lspA,NP_308057.1,29618,30113,1,prolipoprotein signal peptidase
fkpB,NP_308058.1,30200,30650,1,FKBP-type peptidyl-prolyl cis-trans isomerase
ispH,NP_308059.1,30651,31602,1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
rihC,NP_308060.1,31667,32582,1,ribonucleoside hydrolase 3
dapB,NP_308061.1,32748,33570,1,dihydrodipicolinate reductase
carA,NP_308062.1,34025,35174,1,carbamoyl phosphate synthetase small subunit
carB,NP_308063.1,35191,38413,1,carbamoyl-phosphate synthase large subunit
N.A.,YP_009502587.1,38420,38639,-1,hypothetical protein
caiF,NP_308064.2,38673,39069,1,cai operon transcriptional activator
caiE,NP_308065.2,39187,39778,-1,carnitine operon protein CaiE
caiD,NP_308066.2,39783,40569,-1,carnitinyl-CoA dehydratase
caiC,NP_308067.2,40677,42231,-1,crotonobetaine/carnitine-CoA ligase
caiB,NP_308068.1,42304,43522,-1,crotonobetainyl CoA:carnitine CoA transferase
caiA,NP_308069.1,43650,44793,-1,crotonobetaine reductase subunit II
caiT,NP_308070.1,44823,46338,-1,transporter
fixA,NP_308071.2,46816,47587,1,anaerobic carnitine reduction electron transfer flavoprotein subunit
fixB,NP_308072.1,47601,48543,1,electron transfer flavoprotein FixB
ydiS,NP_308073.1,48593,49880,1,oxidoreductase
fixX,NP_308074.1,49876,50164,1,ferredoxin
yaaU,NP_308075.1,50221,51553,1,MFS sugar transporter
kefF,NP_308076.1,51660,52191,1,potassium transporter
kefC,NP_308077.1,52183,54046,1,glutathione-regulated potassium-efflux system protein
folA,NP_308078.2,54126,54717,1,dihydrofolate reductase
N.A.,NP_308079.1,54802,55036,1,CcdA-like protein
N.A.,NP_308080.1,55038,55353,1,CcdB-like protein
apaH,NP_308081.1,55349,56198,-1,diadenosine tetraphosphatase
apaG,NP_308082.1,56204,56582,-1,CO2+/MG2+ efflux protein ApaG
rsmA,NP_308083.1,56584,57406,-1,ribosomal RNA small subunit methyltransferase A
pdxA,NP_308084.1,57402,58392,-1,4-hydroxy-L-threonine phosphate dehydrogenase
surA,NP_308085.1,58391,59678,-1,peptidyl-prolyl cis-trans isomerase
lptD,NP_308086.1,59730,62085,-1,LPS assembly OM complex LptDE beta-barrel component
djlA,NP_308087.1,62339,63155,1,membrane-anchored DnaK co-chaperone
espY1,NP_308088.1,63449,64202,1,T3SS effector-like protein EspY
rluA,NP_308089.1,64619,65279,-1,23S rRNA/tRNA pseudouridine synthase A
rapA,NP_308090.1,65290,68197,-1,RNA polymerase remodeling/recycling factor ATPase
polB,NP_308091.1,68360,70712,-1,DNA polymerase II
araD,NP_308092.1,70786,71482,-1,L-ribulose-5-phosphate 4-epimerase
araA,NP_308093.1,71681,73184,-1,L-arabinose isomerase
araB,NP_308094.1,73194,74895,-1,L-ribulokinase
araC,NP_308095.1,75233,76112,1,ara regulon transcriptional activator
yabI,NP_308096.1,76197,76962,1,DedA family inner membrane protein
thiQ,NP_308097.1,77048,77747,-1,thiamine/thiamine pyrophosphate ABC transporter ATPase
thiP,NP_308098.1,77730,79341,-1,thiamine transport system permease
thiB,NP_308099.1,79316,80300,-1,thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein
espY2,NP_308100.1,80671,81241,1,T3SS effector-like protein EspY
sgrR,NP_308101.1,81469,83128,-1,transcriptional activator
leuD,NP_308102.1,83455,84061,-1,3-isopropylmalate dehydratase small subunit
leuC,NP_308103.1,84071,85472,-1,3-isopropylmalate dehydratase large subunit
leuB,NP_308104.2,85474,86566,-1,3-isopropylmalate dehydrogenase
leuA,NP_308105.1,86565,88137,-1,2-isopropylmalate synthase
leuL,NP_308106.1,88229,88316,-1,leu operon leader peptide
leuO,NP_308107.3,88973,89918,1,DNA-binding transcriptional activator LeuO
ilvI,NP_308108.2,90235,91960,1,acetolactate synthase 3 large subunit
ilvH,NP_308109.1,91962,92454,1,acetolactate synthase 3 small subunit
fruR,NP_308110.1,92465,92552,1,fruR leader peptide
fruR,NP_308111.1,92633,93638,1,DNA-binding transcriptional dual regulator FruR
mraZ,NP_308112.1,94239,94698,1,RsmH methyltransferase inhibitor
rsmH,NP_308113.1,94699,95641,1,16S rRNA m(4)C1402 methyltransferase
ftsL,NP_308114.1,95637,96003,1,membrane bound cell division leucine zipper septum protein
ftsI,NP_308115.1,96018,97785,1,cell division protein FtsI
murE,NP_308116.1,97771,99259,1,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase
murF,NP_308117.1,99255,100614,1,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase
mraY,NP_308118.1,100607,101690,1,phospho-N-acetylmuramoyl-pentapeptide- transferase
murD,NP_308119.1,101692,103009,1,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
ftsW,NP_308120.1,103008,104253,1,lipid II flippase FtsW
murG,NP_308121.1,104249,105317,1,N-acetylglucosaminyl transferase
murC,NP_308122.1,105370,106846,1,UDP-N-acetylmuramate:L-alanine ligase
ddlB,NP_308123.1,106838,107759,1,D-alanine:D-alanine ligase
ftsQ,NP_308124.1,107760,108591,1,cell division protein FtsQ
ftsA,NP_308125.1,108587,109850,1,cell division protein FtsA
ftsZ,NP_308126.1,109910,111062,1,GTP-binding tubulin-like cell division protein FtsZ
lpxC,NP_308127.1,111162,112080,1,UDP-3-O-acyl N-acetylglucosamine deacetylase
secM,NP_308128.2,112310,112823,1,SecA regulator SecM
secA,NP_308129.1,112884,115590,1,preprotein translocase subunit
mutT,NP_308130.1,115649,116048,1,dGTP-preferring nucleoside triphosphate pyrophosphohydrolase
yacG,NP_308132.1,116138,116336,-1,DNA gyrase inhibitor
zapD,NP_308133.1,116345,117089,-1,cell division protein ZapD
coaE,NP_308134.1,117088,117709,-1,dephospho-CoA kinase
guaC,NP_308135.1,117933,118977,1,GMP reductase
hofC,NP_308137.1,119011,120214,-1,assembly protein in type IV pilin biogenesis transmembrane protein
hofB,NP_308138.1,120203,121589,-1,type II secretion system protein HofB
ppdD,NP_308139.1,121598,122039,-1,prepilin peptidase-dependent pilin
nadC,NP_308140.1,122241,123135,-1,quinolinate phosphoribosyltransferase
ampD,NP_308141.1,123222,123774,1,1:6-anhydro-N-acetylmuramyl-L-alanine amidase
ampE,NP_308142.1,123770,124625,1,ampicillin resistance inner membrane protein AmpE
aroP,NP_308143.2,124667,126038,-1,phenylalanine transporter
pdhR,NP_308144.1,126581,127346,1,pyruvate dehydrogenase complex repressor
aceE,NP_308145.1,127506,130170,1,pyruvate dehydrogenase
aceF,NP_308146.1,130184,132077,1,pyruvate dehydrogenase
lpd,NP_308147.1,132284,133709,1,dihydrolipoyl dehydrogenase
yacH,NP_308148.1,133779,135633,-1,hypothetical protein
acnB,NP_308149.1,135987,138585,1,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
yacL,NP_308150.2,138760,139123,1,hypothetical protein
speD,NP_308151.1,139160,139955,-1,S-adenosylmethionine decarboxylase
speE,NP_308152.1,139970,140837,-1,spermidine synthase
yacC,NP_308153.3,140942,141251,-1,hypothetical protein
cueO,NP_308154.1,141455,143006,1,multicopper oxidase
gcd,NP_308155.1,143207,145598,-1,glucose dehydrogenase
hpt,NP_308156.2,145803,146340,1,hypoxanthine phosphoribosyltransferase
can,NP_308157.1,146380,147043,-1,carbonic anhydrase
yadG,NP_308158.1,147151,148078,1,ABC transporter ATPase
yadH,NP_308159.1,148074,148845,1,ABC transporter permease
yadI,NP_308160.1,148949,149390,1,PTS Enzyme IIA
yadE,NP_308161.1,149453,150683,1,polysaccharide deacetylase lipoprotein
panD,NP_308162.1,150686,151067,-1,aspartate 1-decarboxylase
yadD,NP_308163.1,151340,152237,1,hypothetical protein
panC,NP_308164.1,152535,153387,-1,pantothenate synthetase
panB,NP_308165.1,153398,154193,-1,3-methyl-2-oxobutanoate hydroxymethyltransferase
yadC,NP_308166.1,154327,155437,-1,fimbrial protein
yadK,NP_308167.1,155448,156039,-1,fimbrial protein
yadL,NP_308168.1,156059,156665,-1,fimbrial protein
yadM,NP_308169.2,156679,157228,-1,fimbrial protein
htrE,NP_308170.1,157241,159842,-1,outer membrane usher protein
yadV,NP_308171.1,159883,160609,-1,periplasmic pilin chaperone
yadN,NP_308172.1,160695,161292,-1,fimbrial protein
folK,NP_308173.1,161572,162055,-1,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
pcnB,NP_308174.3,162051,163449,-1,poly(A) polymerase
gluQ,NP_308175.3,163508,164435,-1,glutamyl-Q tRNA(Asp) synthetase
dksA,NP_308176.1,164471,164927,-1,transcriptional regulator
sfsA,NP_308177.1,165104,165809,-1,sugar fermentation stimulation protein A
ligT,NP_308178.2,165823,166354,-1,2'-5' RNA ligase
hrpB,NP_308179.2,166427,168857,1,ATP-dependent helicase
mrcB,NP_308180.1,169052,171587,1,penicillin-binding protein 1B
fhuA,NP_308181.1,171806,174050,1,ferrichrome outer membrane transporter
fhuC,NP_308182.1,174100,174898,1,iron(3+)-hydroxamate import ABC transporter ATPase
fhuD,NP_308183.1,174897,175788,1,iron(3+)-hydroxamate import ABC transporter periplasmic binding protein
fhuB,NP_308184.1,175784,177767,1,iron(3+)-hydroxamate import ABC transporter permease
hemL,NP_308185.1,177801,179082,-1,glutamate-1-semialdehyde 2:1-aminomutase
clcA,NP_308186.1,179306,180728,1,H(+)/Cl(-) exchange transporter
erpA,NP_308187.1,180809,181154,1,iron-sulfur cluster insertion protein
yadS,NP_308188.1,181200,181824,-1,inner membrane protein
btuF,NP_308189.1,181861,182662,-1,vitamin B12 ABC transporter periplasmic binding protein
mtn,NP_308190.1,182654,183353,-1,5'-methylthioadenosine nucleosidase
dgt,NP_308191.1,183436,184954,1,deoxyguanosine triphosphate triphosphohydrolase
degP,NP_308192.1,185083,186508,1,serine endoprotease
cdaR,NP_308193.1,186662,187820,1,carbohydrate diacid regulator
yaeH,NP_308194.1,187908,188295,-1,hypothetical protein
dapD,NP_308195.1,188609,189434,-1,2:3:4:5-tetrahydropyridine-2-carboxylate N-succinyltransferase
glnD,NP_308196.1,189464,192137,-1,uridylyltransferase
map,NP_308197.1,192198,192993,-1,methionine aminopeptidase
rpsB,NP_308198.1,193360,194086,1,30S ribosomal subunit protein S2
tsf,NP_308199.1,194343,195195,1,translation elongation factor EF-Ts
pyrH,NP_308200.1,195341,196067,1,uridylate kinase
frr,NP_308201.1,196216,196774,1,ribosome recycling factor
dxr,NP_308202.1,196865,198062,1,1-deoxy-D-xylulose 5-phosphate reductoisomerase
ispU,NP_308203.2,198250,199009,1,undecaprenyl pyrophosphate synthase
cdsA,NP_308204.3,199051,199879,1,CDP-diglyceride synthase
rseP,NP_308205.1,199890,201243,1,metallopeptidase
bamA,NP_308206.1,201272,203705,1,BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor
skp,NP_308207.1,203825,204311,1,periplasmic chaperone
lpxD,NP_308208.1,204314,205340,1,UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase
fabZ,NP_308209.2,205444,205900,1,(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase
lpxA,NP_308210.1,205903,206692,1,UDP-N-acetylglucosamine acetyltransferase
lpxB,NP_308211.1,206691,207840,1,lipid-A-disaccharide synthase
rnhB,NP_308212.1,207836,208433,1,ribonuclease HII
dnaE,NP_308213.1,208469,211952,1,DNA polymerase III alpha subunit DnaE
accA,NP_308214.1,211964,212924,1,acetyl-CoA carboxylase carboxyl transferase alpha subunit
cadA_1,NP_308215.1,213022,215164,1,lysine decarboxylase 2
yaeR,NP_308216.2,215220,215610,1,lyase
tilS,NP_308217.1,215674,216970,1,tRNA(Ile)-lysidine synthetase
rof,NP_308218.3,217022,217283,-1,modulator of Rho-dependent transcription termination
yaeP,YP_009502588.1,217269,217470,-1,hypothetical protein
yaeQ,NP_308219.1,217635,218094,1,hypothetical protein
arfB,NP_308220.1,218177,218588,1,hypothetical protein
nlpE,NP_308221.1,218601,219312,1,lipoprotein involved with copper homeostasis and adhesion
yaeF,NP_308222.1,219511,220336,-1,lipoprotein
proS,NP_308223.1,220388,222107,-1,prolyl-tRNA synthetase
tsaA,NP_308224.1,222217,222925,-1,tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase
rcsF,NP_308225.1,222921,223326,-1,outer membrane protein
metQ,NP_308226.1,223443,224259,-1,DL-methionine transporter subunit
metI,NP_308227.1,224298,224952,-1,DL-methionine transporter subunit
metN,NP_308228.1,224944,225976,-1,DL-methionine transporter subunit
gmhB,NP_308229.1,226163,226739,1,D:D-heptose 1:7-bisphosphate phosphatase
dkgB,NP_308230.1,232496,233300,1,2:5-diketo-D-gluconate reductase B
yafC,NP_308231.1,233296,234211,-1,LysR family transcriptional regulator
yafD,NP_308232.2,234472,235252,1,endo/exonuclease/phosphatase family protein
yafE,NP_308233.1,235329,236100,1,S-adenosyl-L-methionine-dependent methyltransferase
mltD,NP_308234.1,236147,237506,-1,membrane-bound lytic murein transglycosylase D
gloB,NP_308235.1,237577,238333,-1,hydroxyacylglutathione hydrolase
yafS,NP_308236.2,238366,239089,1,S-adenosyl-L-methionine-dependent methyltransferase
rnhA,NP_308237.1,239085,239553,-1,ribonuclease HI
dnaQ,NP_308238.2,239608,240349,1,DNA polymerase III epsilon subunit DnaQ
yafT,YP_009502589.1,240886,241687,1,lipoprotein
N.A.,NP_308239.1,241871,242168,-1,hypothetical protein
N.A.,NP_308240.1,242164,242614,-1,hypothetical protein
N.A.,NP_308241.2,242616,243213,-1,hypothetical protein
N.A.,NP_302948.1,243291,243513,-1,hypothetical protein
N.A.,NP_308243.1,243533,244013,-1,type VI secretion system effector Hcp1 family protein
N.A.,NP_308244.1,243978,245388,-1,hypothetical protein
impL,NP_308245.2,245398,248833,-1,type VI secretion system protein ImpL
N.A.,N.A.,248969,250381,-1,N.A.
N.A.,NP_308249.1,250385,251129,-1,type VI secretion protein
N.A.,NP_308250.1,251125,253897,-1,ATP-dependent Clp proteinase
impK,NP_308251.1,253905,254667,-1,type VI secretion system protein ImpK
impJ,NP_308252.1,254671,256003,-1,type VI secretion system protein ImpJ
N.A.,NP_308253.1,256005,256530,-1,lipoprotein
imp,NP_308254.1,256526,257807,-1,type VI secretion system protein ImpI
impH,NP_308255.1,257831,258914,-1,type VI secretion system protein ImpH
N.A.,NP_308256.1,258877,260728,-1,type VI secretion protein
N.A.,NP_308257.1,260731,261145,-1,type VI secretion protein
impC,NP_308258.1,261235,262627,-1,type VI secretion system protein ImpC
N.A.,NP_308259.1,262677,262902,-1,hypothetical protein
impB,NP_308260.1,262936,263437,-1,type VI secretion system protein ImpB
N.A.,NP_308261.1,264133,264652,1,Hcp-like protein
vgrE,NP_308263.1,264861,267003,1,type VI secretion system Vgr family protein
rhsC,NP_308264.2,267078,271293,1,type IV secretion protein Rhs
yibG,NP_308265.2,271361,271907,1,hypothetical protein
ydcC,NP_308268.1,272652,273789,1,H repeat-associated protein
N.A.,NP_308269.1,273791,275552,1,type IV secretion protein Rhs
N.A.,NP_308270.1,275535,275706,1,hypothetical protein
N.A.,NP_308271.1,275753,276017,1,hypothetical protein
yncI,NP_308272.1,276197,277370,1,hypothetical protein
yafV,NP_308273.1,277487,278258,-1,NAD(P)-binding C-N hydrolase family amidase
ivy,NP_308274.2,278438,278885,1,inhibitor of c-type lysozyme
fadE,NP_308275.2,278927,281372,-1,acyl coenzyme A dehydrogenase
gmhA,NP_308276.1,281611,282190,1,D-sedoheptulose 7-phosphate isomerase
yafJ,NP_308277.1,282294,283062,1,type 2 glutamine amidotransferase family protein
yafK,NP_308278.1,283032,283773,-1,L:D-transpeptidase-related protein
yafQ,NP_308279.1,283928,284189,-1,predicted toxin of the YafQ-DinJ toxin-antitoxin system
dinJ,NP_308280.1,284207,284468,-1,antitoxin of YafQ-DinJ toxin-antitoxin system
yafL,NP_308281.2,284653,285427,1,endopeptidase
yafM,N.A.,285602,285899,1,N.A.
flhA,NP_308284.2,286244,287984,-1,flagellar export pore protein
mbhA,NP_308283.2,288078,288714,1,flagellar system protein MbhA
dinB,NP_308285.1,288784,289840,1,DNA polymerase IV
yafN,NP_308286.1,289891,290185,1,antitoxin of the YafO-YafN toxin-antitoxin system
